Machine,Job,Gap 20,Gap 10,Gap 5,Gap 0
6,10,10.707,155.423,1115.471,4829.254
6,10,17.693,267.711,1983.832,7096.934
6,10,1.684,17.479,55.422,97.952
6,10,9.941,69.357,664.941,2243.98
6,10,1.166,12.492,40.051,65.298
6,10,1.979,32.382,401.999,1003.891
6,10,12.146,63.54,261.888,1868.933
6,10,0.894,14.701,52.979,86.127
6,10,2.634,34.527,56.413,114.762
6,10,3.455,36.803,109.663,229.124
6,10,8.474,73.346,1071.77,4423.671
6,10,5.385,66.678,811.741,2581.693
6,10,1.556,13.189,45.461,109.551
6,10,3.919,45.627,163.674,800.542
6,10,2.172,17.871,154.911,607.009
6,10,9.942,108.515,650.305,1728.509
6,10,10.852,28.785,49.675,57.895
6,10,8.692,36.982,111.163,475.52
6,10,6.902,79.469,473.519,1786.706
6,10,0.993,16.808,68.697,256.026
6,10,6.11,27.166,64.856,105.879
6,10,3.842,78.403,741.368,2266.172
6,10,6.138,41.46,153.062,323.4
6,10,4.265,48.062,257.346,680.313
6,10,0.443,15.074,138.597,868.75
6,10,8.225,32.691,78.477,135.448
6,10,4.429,235.663,3853.093,17348.052
6,10,5.254,28.121,101.053,123.918
6,10,2.403,44.632,101.231,249.374
6,10,0.746,34.443,179.376,955.212
6,10,7.233,87.422,1058.955,3087.797
6,10,7.177,50.886,157.979,528.332
6,10,2.177,14.508,54.97,115.724
6,10,9.479,1838.979,31857.018,174218.735
6,10,2.488,45.246,326.254,1198.447
6,10,5.455,156.133,1200.03,3964.726
6,10,14.847,132.687,765.371,1679.038
6,10,8.92,58.223,145.54,369.229
6,10,2.779,61.256,356.798,1034.125
6,10,13.842,34.498,47.672,62.635
7, 8,0.042,0.954,2.401,2.88
7, 8,0.048,0.392,0.805,1.102
7, 8,0.109,0.753,1.317,1.582
7, 8,0.32,2.295,10.242,14.102
7, 8,0.111,0.659,1.323,2.177
7, 8,0.043,0.924,1.281,2.165
7, 8,0.033,0.7,0.969,1.457
7, 8,0.128,0.69,2.752,3.844
7, 8,0.022,0.304,1.009,1.221
7, 8,0.187,0.579,1.216,1.677
7, 8,0.197,0.538,2.099,2.597
7, 8,0.536,1.8,4.973,9.616
7, 8,0.085,0.616,1.096,1.433
7, 8,0.03,0.471,0.911,1.43
7, 8,0.025,0.329,0.585,0.913
7, 8,0.166,0.613,0.769,0.984
7, 8,0.528,0.961,2.75,3.097
7, 8,0.243,0.632,1.385,2.084
7, 8,0.43,0.739,0.93,1.203
7, 8,0.246,3.569,11.752,16.39
7, 8,0.278,2.121,5.798,8.228
7, 8,0.375,2.012,3.113,3.737
7, 8,0.029,0.058,0.902,1.013
7, 8,0.067,0.559,1.279,3.045
7, 8,0.155,0.693,2.823,3.197
7, 8,0.049,0.244,0.833,0.915
7, 8,0.182,0.731,1.117,2.69
7, 8,0.115,0.723,2.473,2.872
7, 8,0.029,0.931,1.056,1.397
7, 8,0.031,0.518,1.236,1.793
7, 8,0.075,0.41,0.613,0.813
7, 8,0.067,0.751,1.272,1.938
7, 8,0.106,0.432,1.031,1.657
7, 8,0.241,0.969,2.957,3.796
7, 8,0.102,0.548,2.189,3.039
7, 8,0.074,0.911,2.491,3.345
7, 8,0.035,0.613,0.807,0.996
7, 8,0.029,0.601,0.899,1.248
7, 8,0.115,0.529,0.763,0.985
7, 8,0.062,0.246,1.096,2.824
7, 8,0.04,0.63,0.803,1.26
7, 8,0.034,0.677,2.843,6.557
7, 8,0.182,0.629,0.847,1.434
